  EVENTID;TYPE;AUTHOR   ;DATE      ;TIME       ;LAT     ;LON      ;DEPTH;DEPFIX;AUTHOR   ;TYPE  ;MAG ;autho2;type2;mag2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
861422;ke  ;ISC      ;28/01/1965;31:52,5;6,7348;-73,0416;161;TRUE  ;ISC      ;mb    ;3,8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
860129;ke  ;ISC      ;13/02/1965;01:41,4;6,6434;-72,8216;161;TRUE  ;ISC      ;mb    ;4,3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
860155;ke  ;ISC      ;14/02/1965;51:50,9;6,716;-72,9699;161;TRUE  ;ISC      ;mb    ;4,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
860166;ke  ;ISC      ;14/02/1965;50:54,1;6,7739;-72,8958;166;TRUE  ;USCGS    ;mb    ;4,2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
860605;ke  ;ISC      ;26/02/1965;36:14,4;6,6909;-72,9127;166,2;      ;ISC      ;mb    ;5,5;USCGS    ;mb    ;5,7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
858779;ke  ;ISC      ;22/03/1965;46:08,6;6,7522;-72,9708;161;TRUE  ;ISC      ;mb    ;4,3;USCGS    ;mb    ;4,9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
858879;ke  ;ISC      ;26/03/1965;39:43,4;6,7531;-73,0982;161;TRUE  ;ISC      ;mb    ;3,9;USCGS    ;mb    ;3,9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
857435;ke  ;ISC      ;4/04/1965;33:32,1;6,8571;-73,1006;166;TRUE  ;ISC      ;mb    ;3,7;USCGS    ;mb    ;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
857765;ke  ;ISC      ;15/04/1965;21:48,7;6,8149;-72,8894;166;TRUE  ;ISC      ;mb    ;4;USCGS    ;mb    ;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
857929;ke  ;ISC      ;22/04/1965;39:54,6;6,7508;-73,1356;161;TRUE  ;ISC      ;mb    ;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
856565;ke  ;ISC      ;1/05/1965;35:40,2;6,6947;-73,0155;161;TRUE  ;ISC      ;mb    ;4,5;USCGS    ;mb    ;4,9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
856753;ke  ;ISC      ;10/05/1965;52:33,4;6,7631;-72,9461;161;TRUE  ;ISC      ;mb    ;4;USCGS    ;mb    ;3,9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
856895;ke  ;ISC      ;16/05/1965;38:39,2;6,889;-73,1951;150;TRUE  ;ISC      ;mb    ;3,8;USCGS    ;mb    ;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
856909;ke  ;ISC      ;16/05/1965;53:57,8;6,676;-72,8924;161;TRUE  ;USCGS    ;mb    ;3,4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
857034;ke  ;ISC      ;20/05/1965;52:28,5;6,7458;-73,0767;161;TRUE  ;ISC      ;mb    ;4,1;USCGS    ;mb    ;4,3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
857276;ke  ;ISC      ;30/05/1965;44:03,9;6,8032;-73,3886;156;TRUE  ;ISC      ;mb    ;3,8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
855779;ke  ;ISC      ;1/06/1965;10:57,5;6,838;-72,9501;150;TRUE  ;ISC      ;mb    ;4,3;USCGS    ;mb    ;4,2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
856306;ke  ;ISC      ;21/06/1965;27:55,0;6,7076;-72,9893;161;TRUE  ;ISC      ;mb    ;3,8;USCGS    ;mb    ;4,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
856426;ke  ;ISC      ;26/06/1965;56:44,1;6,7582;-73,0231;150;TRUE  ;ISC      ;mb    ;3,8;USCGS    ;mb    ;4,3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
856455;ke  ;ISC      ;27/06/1965;55:45,4;6,8311;-73,0233;166;TRUE  ;ISC      ;mb    ;4,1;USCGS    ;mb    ;4,7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
856483;ke  ;ISC      ;28/06/1965;20:12,0;6,7747;-73,0136;161;TRUE  ;ISC      ;mb    ;4;USCGS    ;mb    ;4,4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
855709;ke  ;ISC      ;30/07/1965;20:10,4;6,7947;-72,933;160,5;      ;ISC      ;mb    ;5,5;USCGS    ;mb    ;5,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
854466;ke  ;ISC      ;11/08/1965;41:26,8;6,8103;-72,9536;161;TRUE  ;ISC      ;mb    ;4,2;USCGS    ;mb    ;4,6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
854469;ke  ;ISC      ;11/08/1965;04:17,9;6,8609;-73,2353;166;TRUE  ;ISC      ;mb    ;4,8;USCGS    ;mb    ;4,9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
853857;ke  ;ISC      ;15/09/1965;39:34,1;6,7662;-73,058;166;TRUE  ;ISC      ;mb    ;3,9;USCGS    ;mb    ;4,4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
853880;ke  ;ISC      ;16/09/1965;40:32,0;6,7859;-72,8503;161;TRUE  ;ISC      ;mb    ;3,9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
854041;ke  ;ISC      ;22/09/1965;35:32,9;6,7424;-73,2238;166;TRUE  ;ISC      ;mb    ;3,5;USCGS    ;mb    ;3,8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
853012;ke  ;ISC      ;9/10/1965;49:45,6;6,7952;-72,9842;166;TRUE  ;ISC      ;mb    ;3,9;USCGS    ;mb    ;4,6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
853140;ke  ;ISC      ;15/10/1965;48:22,5;6,7134;-72,9124;166;TRUE  ;ISC      ;mb    ;3,9;USCGS    ;mb    ;4,2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
853189;ke  ;ISC      ;17/10/1965;41:19,4;6,8206;-73,1102;166;TRUE  ;ISC      ;mb    ;3,9;USCGS    ;mb    ;4,2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
853248;ke  ;ISC      ;19/10/1965;22:56,0;6,763;-72,9713;161;TRUE  ;ISC      ;mb    ;3,6;USCGS    ;mb    ;4,3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
853262;ke  ;ISC      ;20/10/1965;53:34,4;6,8036;-73,1112;166;TRUE  ;ISC      ;mb    ;4,7;USCGS    ;mb    ;5,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
852207;ke  ;ISC      ;6/11/1965;18:24,4;6,7302;-72,8641;161;TRUE  ;ISC      ;mb    ;3,8;USCGS    ;mb    ;4,3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
852269;ke  ;ISC      ;8/11/1965;24:12,9;6,8084;-73,0037;166;TRUE  ;ISC      ;mb    ;4;USCGS    ;mb    ;4,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
852622;ke  ;ISC      ;23/11/1965;47:53,9;6,8401;-72,9994;166;TRUE  ;ISC      ;mb    ;3,9;USCGS    ;mb    ;3,9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
852682;ke  ;ISC      ;25/11/1965;29:48,1;6,7947;-72,8886;166;TRUE  ;ISC      ;mb    ;4,5;USCGS    ;mb    ;4,6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
852783;ke  ;ISC      ;30/11/1965;16:13,6;6,8818;-73,1224;166;TRUE  ;ISC      ;mb    ;4,5;USCGS    ;mb    ;4,7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
851502;ke  ;ISC      ;3/12/1965;48:27,7;6,8061;-72,8726;166;TRUE  ;ISC      ;mb    ;4,1;USCGS    ;mb    ;4,7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
851686;ke  ;ISC      ;12/12/1965;34:33,7;6,7988;-72,9045;166;TRUE  ;ISC      ;mb    ;4,1;USCGS    ;mb    ;4,6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
851813;ke  ;ISC      ;17/12/1965;13:43,0;6,8171;-72,9367;166;TRUE  ;ISC      ;mb    ;4,3;USCGS    ;mb    ;4,6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
851878;ke  ;ISC      ;21/12/1965;25:44,9;7,0955;-72,8774;166;TRUE  ;ISC      ;mb    ;4,8;USCGS    ;mb    ;4,9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
851946;ke  ;ISC      ;24/12/1965;51:26,3;6,6828;-72,8554;166;TRUE  ;ISC      ;mb    ;3,9;USCGS    ;mb    ;4,3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
850673;ke  ;ISC      ;6/01/1966;19:59,8;6,76;-72,8691;166;TRUE  ;ISC      ;mb    ;5;USCGS    ;mb    ;5,3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
851182;ke  ;ISC      ;24/01/1966;42:04,0;6,7389;-73,0341;166;TRUE  ;ISC      ;mb    ;3,9;USCGS    ;mb    ;4,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
851340;ke  ;ISC      ;29/01/1966;29:42,8;7,0705;-73,1214;130;TRUE  ;USCGS    ;mb    ;3,4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
851360;ke  ;ISC      ;29/01/1966;53:39,4;6,7823;-73,1201;166;TRUE  ;ISC      ;mb    ;3,9;USCGS    ;mb    ;4,8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
851374;ke  ;ISC      ;30/01/1966;17:43,7;6,7534;-73,0451;166;TRUE  ;ISC      ;mb    ;3,9;USCGS    ;mb    ;5,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
849778;ke  ;ISC      ;1/02/1966;07:57,4;6,7396;-73,1702;166;TRUE  ;ISC      ;mb    ;4,2;USCGS    ;mb    ;3,9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
850029;ke  ;ISC      ;9/02/1966;19:24,2;6,7928;-72,8471;166;TRUE  ;ISC      ;mb    ;3,9;USCGS    ;mb    ;4,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
850327;ke  ;ISC      ;20/02/1966;10:29,0;6,9022;-73,078;166;TRUE  ;ISC      ;mb    ;4,3;USCGS    ;mb    ;4,8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
850456;ke  ;ISC      ;24/02/1966;34:47,7;6,6632;-73,1512;35;TRUE  ;ISC      ;mb    ;4,3;USCGS    ;mb    ;4,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
850471;ke  ;ISC      ;25/02/1966;06:32,4;6,7004;-73,0303;166;TRUE  ;ISC      ;mb    ;4;USCGS    ;mb    ;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
849070;ke  ;ISC      ;9/03/1966;24:45,0;6,657;-72,9406;161;TRUE  ;ISC      ;mb    ;3,9;USCGS    ;mb    ;4,3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
849348;ke  ;ISC      ;18/03/1966;59:28,1;6,7415;-72,9394;161;TRUE  ;USCGS    ;mb    ;4,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
849589;ke  ;ISC      ;26/03/1966;14:11,3;6,8608;-73,0878;166;TRUE  ;ISC      ;mb    ;4,1;USCGS    ;mb    ;4,6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
849690;ke  ;ISC      ;29/03/1966;32:19,9;6,7081;-73,0385;166;TRUE  ;USCGS    ;mb    ;3,8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
848027;ke  ;ISC      ;2/04/1966;16:57,3;6,7781;-73,0642;166;TRUE  ;ISC      ;mb    ;4,2;USCGS    ;mb    ;5,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
848260;ke  ;ISC      ;9/04/1966;49:55,9;6,6743;-72,9494;166;TRUE  ;ISC      ;mb    ;4,8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
848285;ke  ;ISC      ;10/04/1966;33:36,4;6,8863;-73,0224;156,7;      ;ISC      ;mb    ;4,9;USCGS    ;mb    ;4,9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
848586;ke  ;ISC      ;21/04/1966;18:26,2;6,8297;-73,0947;166;TRUE  ;ISC      ;mb    ;4,5;USCGS    ;mb    ;4,7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
848603;ke  ;ISC      ;21/04/1966;09:55,8;6,7177;-73,2501;160;TRUE  ;ISC      ;mb    ;3,9;USCGS    ;mb    ;3,7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
848811;ke  ;ISC      ;29/04/1966;45:22,3;6,6986;-73,0365;166;TRUE  ;ISC      ;mb    ;4,1;USCGS    ;mb    ;4,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
848826;ke  ;ISC      ;30/04/1966;27:57,0;6,7514;-73,0779;166;TRUE  ;ISC      ;mb    ;3,9;USCGS    ;mb    ;3,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
847716;ke  ;ISC      ;23/05/1966;06:04,3;6,9598;-73,1448;160;TRUE  ;ISC      ;mb    ;4,1;USCGS    ;mb    ;4,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
847856;ke  ;ISC      ;27/05/1966;12:20,7;6,6978;-73,0038;166;TRUE  ;ISC      ;mb    ;4;USCGS    ;mb    ;4,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
